event_datetime_ts,parameter_group,parameter_name,parameter_value,source
2022-01-13 22:59:29.742,Battery Status,EC,1.0,SysPrm
2022-01-13 22:59:29.742,Battery Status,CS,0.0,SysPrm
2022-01-13 22:59:29.742,Battery Status,BATT C,4294967300.0,SysPrm
2022-01-13 22:59:29.742,Battery Status,VS,162681.0,SysPrm
2022-01-13 22:58:29.740,Battery Status,EC,1.0,SysPrm
2022-01-13 22:58:29.740,Battery Status,CS,0.0,SysPrm
2022-01-13 22:58:29.740,Battery Status,BATT C,4294967300.0,SysPrm
2022-01-13 22:58:29.740,Battery Status,VS,162730.0,SysPrm
2022-01-13 22:57:29.739,Battery Status,EC,1.0,SysPrm
2022-01-13 22:57:29.739,Battery Status,CS,0.0,SysPrm
2022-01-13 22:57:29.739,Battery Status,BATT C,4294967300.0,SysPrm
2022-01-13 22:57:29.739,Battery Status,VS,158499.0,SysPrm
2022-01-13 22:56:29.738,Battery Status,EC,1.0,SysPrm
2022-01-13 22:56:29.738,Battery Status,CS,0.0,SysPrm
2022-01-13 22:56:29.738,Battery Status,BATT C,4294966530.0,SysPrm
2022-01-13 22:56:29.738,Battery Status,VS,148593.0,SysPrm
2022-01-13 22:55:29.737,Battery Status,EC,1.0,SysPrm
2022-01-13 22:55:29.737,Battery Status,CS,0.0,SysPrm
2022-01-13 22:55:29.737,Battery Status,BATT C,4294966270.0,SysPrm
2022-01-13 22:55:29.737,Battery Status,VS,148692.0,SysPrm
2022-01-13 22:54:29.736,Battery Status,EC,1.0,SysPrm
2022-01-13 22:54:29.736,Battery Status,CS,0.0,SysPrm
2022-01-13 22:54:29.736,Battery Status,BATT C,4294966270.0,SysPrm
2022-01-13 22:54:29.736,Battery Status,VS,148742.0,SysPrm
2022-01-13 22:49:29.729,Battery Status,EC,1.0,SysPrm
2022-01-13 22:49:29.729,Battery Status,CS,0.0,SysPrm
2022-01-13 22:49:29.729,Battery Status,BATT C,4294966270.0,SysPrm
2022-01-13 22:49:29.729,Battery Status,VS,148991.0,SysPrm
2022-01-13 22:48:52.718,Djinn Status,LPIV,124.0,SysPrm
2022-01-13 22:48:52.718,Djinn Status,IV,149.0,SysPrm
2022-01-13 22:48:29.728,Battery Status,EC,1.0,SysPrm
2022-01-13 22:48:29.728,Battery Status,CS,0.0,SysPrm
2022-01-13 22:48:29.728,Battery Status,BATT C,4294966270.0,SysPrm
2022-01-13 22:40:29.718,Battery Status,EC,1.0,SysPrm
2022-01-13 22:40:29.718,Battery Status,CS,0.0,SysPrm
2022-01-13 22:40:29.718,Battery Status,BATT C,4294966780.0,SysPrm
2022-01-13 22:40:29.718,Battery Status,VS,151928.0,SysPrm
2022-01-13 22:39:29.740,Battery Status,EC,1.0,SysPrm
2022-01-13 22:39:29.740,Battery Status,CS,0.0,SysPrm
2022-01-13 22:39:29.740,Battery Status,BATT C,4294966780.0,SysPrm
2022-01-13 22:39:29.740,Battery Status,VS,158997.0,SysPrm
2022-01-13 22:53:29.757,Battery Status,EC,1.0,SysPrm
2022-01-13 22:53:29.757,Battery Status,CS,0.0,SysPrm
2022-01-13 22:53:29.757,Battery Status,BATT C,4294966530.0,SysPrm
2022-01-13 22:53:29.757,Battery Status,VS,146950.0,SysPrm
2022-01-13 22:53:27.739,Djinn Status,LPIV,120.0,SysPrm
2022-01-13 22:53:27.739,Djinn Status,IV,145.0,SysPrm
2022-01-13 22:52:29.733,Battery Status,EC,1.0,SysPrm
2022-01-13 22:52:29.733,Battery Status,CS,0.0,SysPrm
2022-01-13 22:52:29.733,Battery Status,BATT C,4294965250.0,SysPrm
2022-01-13 22:52:29.733,Battery Status,VS,147647.0,SysPrm
2022-01-13 22:51:29.732,Battery Status,EC,1.0,SysPrm
2022-01-13 22:51:29.732,Battery Status,CS,0.0,SysPrm
2022-01-13 22:51:29.732,Battery Status,BATT C,4294966530.0,SysPrm
2022-01-13 22:51:29.732,Battery Status,VS,148941.0,SysPrm
2022-01-13 22:50:29.730,Battery Status,EC,1.0,SysPrm
2022-01-13 22:50:29.730,Battery Status,CS,0.0,SysPrm
2022-01-13 22:50:29.730,Battery Status,BATT C,4294966270.0,SysPrm
2022-01-13 22:50:29.730,Battery Status,VS,149041.0,SysPrm
2022-01-13 22:38:29.715,Battery Status,EC,1.0,SysPrm
2022-01-13 22:38:29.715,Battery Status,CS,4.0,SysPrm
2022-01-13 22:38:29.715,Battery Status,BATT C,1072.0,SysPrm
2022-01-13 22:38:29.715,Battery Status,VS,168604.0,SysPrm
2022-01-13 22:34:29.710,Battery Status,EC,1.0,SysPrm
2022-01-13 22:34:29.710,Battery Status,CS,4.0,SysPrm
2022-01-13 22:34:29.710,Battery Status,BATT C,1216.0,SysPrm
2022-01-13 22:34:29.710,Battery Status,VS,168555.0,SysPrm
2022-01-13 22:33:29.709,Battery Status,EC,1.0,SysPrm
2022-01-13 22:33:29.709,Battery Status,CS,4.0,SysPrm
2022-01-13 22:33:29.709,Battery Status,BATT C,1256.0,SysPrm
2022-01-13 22:33:29.709,Battery Status,VS,168555.0,SysPrm
2022-01-13 22:48:15.860,Djinn Status,LPIV,127.0,SysPrm
2022-01-13 22:48:15.860,Djinn Status,IV,149.0,SysPrm
2022-01-13 22:47:29.727,Battery Status,EC,1.0,SysPrm
2022-01-13 22:47:29.727,Battery Status,CS,0.0,SysPrm
2022-01-13 22:47:29.727,Battery Status,BATT C,4294966270.0,SysPrm
2022-01-13 22:47:29.727,Battery Status,VS,149290.0,SysPrm
2022-01-13 22:46:29.747,Battery Status,EC,1.0,SysPrm
2022-01-13 22:46:29.747,Battery Status,CS,0.0,SysPrm
2022-01-13 22:46:29.747,Battery Status,BATT C,4294966530.0,SysPrm
2022-01-13 22:46:29.747,Battery Status,VS,149290.0,SysPrm
2022-01-13 22:45:40.408,Djinn Status,LPIV,128.0,SysPrm
2022-01-13 22:45:40.408,Djinn Status,IV,150.0,SysPrm
2022-01-13 22:44:29.724,Battery Status,EC,1.0,SysPrm
2022-01-13 22:44:29.724,Battery Status,CS,0.0,SysPrm
2022-01-13 22:44:29.724,Battery Status,BATT C,4294966530.0,SysPrm
2022-01-13 22:44:29.724,Battery Status,VS,149688.0,SysPrm
2022-01-13 22:43:36.446,Djinn Status,LPIV,124.0,SysPrm
2022-01-13 22:43:36.446,Djinn Status,IV,149.0,SysPrm
2022-01-13 22:43:29.722,Battery Status,EC,1.0,SysPrm
2022-01-13 22:43:29.722,Battery Status,CS,0.0,SysPrm
2022-01-13 22:43:29.722,Battery Status,BATT C,4294965500.0,SysPrm
2022-01-13 22:43:29.722,Battery Status,VS,148643.0,SysPrm
2022-01-13 22:42:29.720,Battery Status,EC,1.0,SysPrm
2022-01-13 22:42:29.720,Battery Status,CS,0.0,SysPrm
2022-01-13 22:42:29.720,Battery Status,BATT C,4294966530.0,SysPrm
2022-01-13 22:42:29.720,Battery Status,VS,150136.0,SysPrm
2022-01-13 22:41:29.719,Battery Status,EC,1.0,SysPrm
2022-01-13 22:41:29.719,Battery Status,CS,0.0,SysPrm
2022-01-13 22:41:29.719,Battery Status,BATT C,4294966530.0,SysPrm
2022-01-13 22:41:29.719,Battery Status,VS,150435.0,SysPrm
2022-01-13 22:48:29.728,Battery Status,VS,148891.0,SysPrm
2022-01-13 22:32:29.730,Battery Status,EC,1.0,SysPrm
2022-01-13 22:32:29.730,Battery Status,CS,4.0,SysPrm
2022-01-13 22:32:29.730,Battery Status,BATT C,1280.0,SysPrm
2022-01-13 22:32:29.730,Battery Status,VS,168604.0,SysPrm
2022-01-13 22:30:29.705,Battery Status,BATT C,1352.0,SysPrm
2022-01-13 22:30:29.705,Battery Status,VS,168555.0,SysPrm
2022-01-13 22:29:29.704,Battery Status,EC,1.0,SysPrm
2022-01-13 22:29:29.704,Battery Status,CS,4.0,SysPrm
2022-01-13 22:29:29.704,Battery Status,BATT C,1392.0,SysPrm
2022-01-13 22:29:29.704,Battery Status,VS,168654.0,SysPrm
2022-01-13 22:28:29.703,Battery Status,EC,1.0,SysPrm
2022-01-13 22:28:29.703,Battery Status,CS,4.0,SysPrm
2022-01-13 22:28:29.703,Battery Status,BATT C,1448.0,SysPrm
2022-01-13 22:28:29.703,Battery Status,VS,168555.0,SysPrm
2022-01-13 22:27:29.701,Battery Status,EC,1.0,SysPrm
2022-01-13 22:27:29.701,Battery Status,CS,4.0,SysPrm
2022-01-13 22:27:29.701,Battery Status,BATT C,1480.0,SysPrm
2022-01-13 22:27:29.701,Battery Status,VS,168555.0,SysPrm
2022-01-13 22:45:01.584,Djinn Status,LPIV,124.0,SysPrm
2022-01-13 22:45:01.584,Djinn Status,IV,149.0,SysPrm
2022-01-13 22:37:29.714,Battery Status,EC,1.0,SysPrm
2022-01-13 22:37:29.714,Battery Status,CS,4.0,SysPrm
2022-01-13 22:37:29.714,Battery Status,BATT C,1152.0,SysPrm
2022-01-13 22:37:29.714,Battery Status,VS,168604.0,SysPrm
2022-01-13 22:36:29.713,Battery Status,EC,1.0,SysPrm
2022-01-13 22:36:29.713,Battery Status,CS,4.0,SysPrm
2022-01-13 22:36:29.713,Battery Status,BATT C,1152.0,SysPrm
2022-01-13 22:36:29.713,Battery Status,VS,168604.0,SysPrm
2022-01-13 22:35:29.712,Battery Status,EC,1.0,SysPrm
2022-01-13 22:35:29.712,Battery Status,CS,4.0,SysPrm
2022-01-13 22:35:29.712,Battery Status,BATT C,1184.0,SysPrm
2022-01-13 22:35:29.712,Battery Status,VS,168505.0,SysPrm
2022-01-13 22:26:29.700,Battery Status,EC,1.0,SysPrm
2022-01-13 22:26:29.700,Battery Status,CS,4.0,SysPrm
2022-01-13 22:26:29.700,Battery Status,BATT C,1536.0,SysPrm
2022-01-13 22:26:29.700,Battery Status,VS,168505.0,SysPrm
2022-01-13 22:23:29.696,Battery Status,CS,4.0,SysPrm
2022-01-13 22:23:29.696,Battery Status,BATT C,1664.0,SysPrm
2022-01-13 22:23:29.696,Battery Status,VS,168555.0,SysPrm
2022-01-13 22:22:29.695,Battery Status,EC,1.0,SysPrm
2022-01-13 22:22:29.695,Battery Status,CS,4.0,SysPrm
2022-01-13 22:22:29.695,Battery Status,BATT C,1704.0,SysPrm
2022-01-13 22:22:29.695,Battery Status,VS,168555.0,SysPrm
2022-01-13 22:21:29.694,Battery Status,EC,1.0,SysPrm
2022-01-13 22:21:29.694,Battery Status,CS,4.0,SysPrm
2022-01-13 22:21:29.694,Battery Status,BATT C,1800.0,SysPrm
2022-01-13 22:21:29.694,Battery Status,VS,168604.0,SysPrm
2022-01-13 22:20:29.693,Battery Status,EC,1.0,SysPrm
2022-01-13 22:20:29.693,Battery Status,CS,4.0,SysPrm
2022-01-13 22:20:29.693,Battery Status,BATT C,1904.0,SysPrm
2022-01-13 22:20:29.693,Battery Status,VS,168604.0,SysPrm
2022-01-13 22:45:29.725,Battery Status,EC,1.0,SysPrm
2022-01-13 22:45:29.725,Battery Status,CS,0.0,SysPrm
2022-01-13 22:45:29.725,Battery Status,BATT C,4294965500.0,SysPrm
2022-01-13 22:45:29.725,Battery Status,VS,148692.0,SysPrm
2022-01-13 22:31:29.707,Battery Status,EC,1.0,SysPrm
2022-01-13 22:31:29.707,Battery Status,CS,4.0,SysPrm
2022-01-13 22:31:29.707,Battery Status,BATT C,1328.0,SysPrm
2022-01-13 22:31:29.707,Battery Status,VS,168505.0,SysPrm
2022-01-13 22:30:29.705,Battery Status,EC,1.0,SysPrm
2022-01-13 22:30:29.705,Battery Status,CS,4.0,SysPrm
2022-01-13 22:15:29.686,Battery Status,EC,1.0,SysPrm
2022-01-13 22:15:29.686,Battery Status,CS,0.0,SysPrm
