event_datetime_ts,parameter_group,parameter_name,parameter_value,source
2022-01-13 21:00:16.089,Battery Status,EC,0.0,SysPrm
2022-01-13 21:00:16.089,Battery Status,CS,0.0,SysPrm
2022-01-13 21:00:16.089,Battery Status,BATT C,4294966780.0,SysPrm
2022-01-13 21:00:16.089,Battery Status,VS,155064.0,SysPrm
2022-01-13 20:59:16.088,Battery Status,EC,0.0,SysPrm
2022-01-13 20:59:16.088,Battery Status,CS,0.0,SysPrm
2022-01-13 20:59:16.088,Battery Status,BATT C,4294966780.0,SysPrm
2022-01-13 20:59:16.088,Battery Status,VS,155064.0,SysPrm
2022-01-13 20:58:16.087,Battery Status,EC,0.0,SysPrm
2022-01-13 20:58:16.087,Battery Status,CS,0.0,SysPrm
2022-01-13 20:58:16.087,Battery Status,BATT C,4294966780.0,SysPrm
2022-01-13 20:58:16.087,Battery Status,VS,155164.0,SysPrm
2022-01-13 20:57:16.087,Battery Status,EC,0.0,SysPrm
2022-01-13 20:57:16.087,Battery Status,CS,0.0,SysPrm
2022-01-13 20:57:16.087,Battery Status,BATT C,4294966780.0,SysPrm
2022-01-13 20:57:16.087,Battery Status,VS,155263.0,SysPrm
2022-01-13 20:56:16.086,Battery Status,EC,0.0,SysPrm
2022-01-13 20:56:16.086,Battery Status,CS,0.0,SysPrm
2022-01-13 20:56:16.086,Battery Status,BATT C,4294966780.0,SysPrm
2022-01-13 20:56:16.086,Battery Status,VS,155164.0,SysPrm
2022-01-13 20:55:16.084,Battery Status,EC,0.0,SysPrm
2022-01-13 20:55:16.084,Battery Status,CS,0.0,SysPrm
2022-01-13 20:55:16.084,Battery Status,BATT C,4294966780.0,SysPrm
2022-01-13 20:55:16.084,Battery Status,VS,155164.0,SysPrm
2022-01-13 20:54:16.083,Battery Status,BATT C,4294966780.0,SysPrm
2022-01-13 20:54:16.083,Battery Status,VS,155164.0,SysPrm
2022-01-13 20:53:16.082,Battery Status,EC,0.0,SysPrm
2022-01-13 20:53:16.082,Battery Status,CS,0.0,SysPrm
2022-01-13 20:53:16.082,Battery Status,BATT C,4294966780.0,SysPrm
2022-01-13 20:53:16.082,Battery Status,VS,155164.0,SysPrm
2022-01-13 20:52:16.080,Battery Status,EC,0.0,SysPrm
2022-01-13 20:52:16.080,Battery Status,CS,0.0,SysPrm
2022-01-13 20:52:16.080,Battery Status,BATT C,4294966780.0,SysPrm
2022-01-13 20:52:16.080,Battery Status,VS,155263.0,SysPrm
2022-01-13 20:51:16.079,Battery Status,EC,0.0,SysPrm
2022-01-13 20:51:16.079,Battery Status,CS,0.0,SysPrm
2022-01-13 20:51:16.079,Battery Status,BATT C,4294966780.0,SysPrm
2022-01-13 20:51:16.079,Battery Status,VS,155263.0,SysPrm
2022-01-13 20:50:16.077,Battery Status,EC,0.0,SysPrm
2022-01-13 20:50:16.077,Battery Status,CS,0.0,SysPrm
2022-01-13 20:50:16.077,Battery Status,BATT C,4294966780.0,SysPrm
2022-01-13 20:50:16.077,Battery Status,VS,155164.0,SysPrm
2022-01-13 20:49:16.076,Battery Status,EC,0.0,SysPrm
2022-01-13 20:49:16.076,Battery Status,CS,0.0,SysPrm
2022-01-13 20:54:16.083,Battery Status,EC,0.0,SysPrm
2022-01-13 20:54:16.083,Battery Status,CS,0.0,SysPrm
2022-01-13 20:49:16.076,Battery Status,BATT C,4294966780.0,SysPrm
2022-01-13 20:49:16.076,Battery Status,VS,155263.0,SysPrm
2022-01-13 20:48:16.074,Battery Status,EC,0.0,SysPrm
2022-01-13 20:48:16.074,Battery Status,CS,0.0,SysPrm
2022-01-13 20:48:16.074,Battery Status,BATT C,4294966780.0,SysPrm
2022-01-13 20:48:16.074,Battery Status,VS,155263.0,SysPrm
2022-01-13 20:47:16.073,Battery Status,EC,0.0,SysPrm
2022-01-13 20:47:16.073,Battery Status,CS,0.0,SysPrm
2022-01-13 20:47:16.073,Battery Status,BATT C,4294966780.0,SysPrm
2022-01-13 20:47:16.073,Battery Status,VS,155263.0,SysPrm
2022-01-13 20:46:16.072,Battery Status,EC,0.0,SysPrm
