event_datetime_ts,parameter_group,parameter_name,parameter_value,source
2022-01-13 22:59:32.672,Battery Status,EC,0.0,SysPrm
2022-01-13 22:59:32.672,Battery Status,CS,0.0,SysPrm
2022-01-13 22:59:32.672,Battery Status,BATT C,-24.0,SysPrm
2022-01-13 22:59:32.672,Battery Status,VS,162282.0,SysPrm
2022-01-13 22:58:32.672,Battery Status,EC,0.0,SysPrm
2022-01-13 22:58:32.672,Battery Status,CS,0.0,SysPrm
2022-01-13 22:58:32.672,Battery Status,BATT C,-32.0,SysPrm
2022-01-13 22:58:32.672,Battery Status,VS,162183.0,SysPrm
2022-01-13 22:57:32.670,Battery Status,EC,0.0,SysPrm
2022-01-13 22:57:32.670,Battery Status,CS,0.0,SysPrm
2022-01-13 22:57:32.670,Battery Status,BATT C,-32.0,SysPrm
2022-01-13 22:57:32.670,Battery Status,VS,162233.0,SysPrm
2022-01-13 22:56:32.671,Battery Status,EC,0.0,SysPrm
2022-01-13 22:56:32.671,Battery Status,CS,0.0,SysPrm
2022-01-13 22:56:32.671,Battery Status,BATT C,-24.0,SysPrm
2022-01-13 22:56:32.671,Battery Status,VS,162382.0,SysPrm
2022-01-13 22:55:32.705,Battery Status,EC,0.0,SysPrm
2022-01-13 22:55:32.705,Battery Status,CS,0.0,SysPrm
2022-01-13 22:55:32.705,Battery Status,BATT C,-832.0,SysPrm
2022-01-13 22:55:32.705,Battery Status,VS,154766.0,SysPrm
2022-01-13 22:54:32.670,Battery Status,EC,0.0,SysPrm
2022-01-13 22:54:32.670,Battery Status,CS,0.0,SysPrm
2022-01-13 22:54:32.670,Battery Status,BATT C,-760.0,SysPrm
2022-01-13 22:54:32.670,Battery Status,VS,153670.0,SysPrm
2022-01-13 22:53:32.669,Battery Status,EC,0.0,SysPrm
2022-01-13 22:53:32.669,Battery Status,CS,0.0,SysPrm
2022-01-13 22:53:32.669,Battery Status,BATT C,-744.0,SysPrm
2022-01-13 22:53:32.669,Battery Status,VS,154069.0,SysPrm
2022-01-13 22:52:32.670,Battery Status,EC,0.0,SysPrm
2022-01-13 22:52:32.670,Battery Status,CS,0.0,SysPrm
2022-01-13 22:52:32.670,Battery Status,BATT C,-1280.0,SysPrm
2022-01-13 22:52:32.670,Battery Status,VS,153720.0,SysPrm
2022-01-13 22:44:32.666,Battery Status,EC,0.0,SysPrm
2022-01-13 22:44:32.666,Battery Status,CS,0.0,SysPrm
2022-01-13 22:44:32.666,Battery Status,BATT C,-1408.0,SysPrm
2022-01-13 22:44:32.666,Battery Status,VS,153521.0,SysPrm
2022-01-13 22:44:26.804,Djinn Status,LPIV,139.0,SysPrm
2022-01-13 22:44:26.804,Djinn Status,IV,155.0,SysPrm
2022-01-13 22:43:32.666,Battery Status,EC,0.0,SysPrm
2022-01-13 22:43:32.666,Battery Status,CS,0.0,SysPrm
2022-01-13 22:43:32.666,Battery Status,BATT C,-1312.0,SysPrm
2022-01-13 22:43:32.666,Battery Status,VS,154019.0,SysPrm
2022-01-13 22:42:32.667,Battery Status,EC,0.0,SysPrm
2022-01-13 22:42:32.667,Battery Status,CS,0.0,SysPrm
2022-01-13 22:42:32.667,Battery Status,BATT C,-1272.0,SysPrm
2022-01-13 22:42:32.667,Battery Status,VS,154218.0,SysPrm
2022-01-13 22:41:32.700,Battery Status,EC,0.0,SysPrm
2022-01-13 22:41:32.700,Battery Status,CS,0.0,SysPrm
2022-01-13 22:41:32.700,Battery Status,BATT C,-960.0,SysPrm
2022-01-13 22:41:32.700,Battery Status,VS,153919.0,SysPrm
2022-01-13 22:40:32.665,Battery Status,EC,0.0,SysPrm
2022-01-13 22:40:32.665,Battery Status,CS,0.0,SysPrm
2022-01-13 22:40:32.665,Battery Status,BATT C,-1264.0,SysPrm
2022-01-13 22:40:32.665,Battery Status,VS,154318.0,SysPrm
2022-01-13 22:52:12.205,Djinn Status,LPIV,139.0,SysPrm
2022-01-13 22:52:12.205,Djinn Status,IV,155.0,SysPrm
2022-01-13 22:51:32.669,Battery Status,EC,0.0,SysPrm
2022-01-13 22:51:32.669,Battery Status,CS,0.0,SysPrm
2022-01-13 22:51:32.669,Battery Status,BATT C,-1176.0,SysPrm
2022-01-13 22:51:32.669,Battery Status,VS,153820.0,SysPrm
2022-01-13 22:50:32.667,Battery Status,EC,0.0,SysPrm
2022-01-13 22:50:32.667,Battery Status,CS,0.0,SysPrm
2022-01-13 22:50:32.667,Battery Status,BATT C,-1160.0,SysPrm
2022-01-13 22:50:32.667,Battery Status,VS,154019.0,SysPrm
2022-01-13 22:48:32.703,Battery Status,BATT C,-1280.0,SysPrm
2022-01-13 22:48:32.703,Battery Status,VS,154019.0,SysPrm
2022-01-13 22:47:32.668,Battery Status,EC,0.0,SysPrm
2022-01-13 22:47:32.668,Battery Status,CS,0.0,SysPrm
2022-01-13 22:47:32.668,Battery Status,BATT C,-912.0,SysPrm
2022-01-13 22:47:32.668,Battery Status,VS,154318.0,SysPrm
2022-01-13 22:46:32.666,Battery Status,EC,0.0,SysPrm
2022-01-13 22:46:32.666,Battery Status,CS,0.0,SysPrm
2022-01-13 22:46:32.666,Battery Status,BATT C,-752.0,SysPrm
2022-01-13 22:46:32.666,Battery Status,VS,154566.0,SysPrm
2022-01-13 22:45:32.908,Battery Status,EC,0.0,SysPrm
2022-01-13 22:45:32.908,Battery Status,CS,0.0,SysPrm
2022-01-13 22:45:32.908,Battery Status,BATT C,-1376.0,SysPrm
2022-01-13 22:45:32.908,Battery Status,VS,153869.0,SysPrm
2022-01-13 22:39:32.665,Battery Status,EC,0.0,SysPrm
2022-01-13 22:39:32.665,Battery Status,CS,0.0,SysPrm
