event_datetime_ts,parameter_group,parameter_name,parameter_value,source
2022-01-13 22:58:17.851,Battery Status,EC,0.0,SysPrm
2022-01-13 22:58:17.851,Battery Status,CS,4.0,SysPrm
2022-01-13 22:58:17.851,Battery Status,BATT C,1144.0,SysPrm
2022-01-13 22:58:17.851,Battery Status,VS,167758.0,SysPrm
2022-01-13 22:57:17.858,Battery Status,EC,0.0,SysPrm
2022-01-13 22:57:17.858,Battery Status,CS,4.0,SysPrm
2022-01-13 22:57:17.858,Battery Status,BATT C,1208.0,SysPrm
2022-01-13 22:57:17.858,Battery Status,VS,167758.0,SysPrm
2022-01-13 22:56:17.850,Battery Status,EC,0.0,SysPrm
2022-01-13 22:56:17.850,Battery Status,CS,4.0,SysPrm
2022-01-13 22:56:17.850,Battery Status,BATT C,1240.0,SysPrm
2022-01-13 22:56:17.850,Battery Status,VS,167708.0,SysPrm
2022-01-13 22:54:17.848,Battery Status,EC,0.0,SysPrm
2022-01-13 22:54:17.848,Battery Status,CS,4.0,SysPrm
2022-01-13 22:54:17.848,Battery Status,BATT C,1360.0,SysPrm
2022-01-13 22:54:17.848,Battery Status,VS,167758.0,SysPrm
2022-01-13 22:53:17.848,Battery Status,EC,0.0,SysPrm
2022-01-13 22:53:17.848,Battery Status,CS,4.0,SysPrm
2022-01-13 22:53:17.848,Battery Status,BATT C,1424.0,SysPrm
2022-01-13 22:53:17.848,Battery Status,VS,167708.0,SysPrm
2022-01-13 22:52:17.847,Battery Status,EC,0.0,SysPrm
2022-01-13 22:52:17.847,Battery Status,CS,4.0,SysPrm
2022-01-13 22:52:17.847,Battery Status,BATT C,1512.0,SysPrm
2022-01-13 22:52:17.847,Battery Status,VS,167758.0,SysPrm
2022-01-13 22:51:17.846,Battery Status,EC,0.0,SysPrm
2022-01-13 22:51:17.846,Battery Status,CS,4.0,SysPrm
2022-01-13 22:51:17.846,Battery Status,BATT C,1584.0,SysPrm
2022-01-13 22:51:17.846,Battery Status,VS,167758.0,SysPrm
2022-01-13 23:00:17.853,Battery Status,EC,0.0,SysPrm
2022-01-13 23:00:17.853,Battery Status,CS,4.0,SysPrm
2022-01-13 23:00:17.853,Battery Status,BATT C,1032.0,SysPrm
2022-01-13 23:00:17.853,Battery Status,VS,167758.0,SysPrm
2022-01-13 22:59:17.852,Battery Status,EC,0.0,SysPrm
2022-01-13 22:59:17.852,Battery Status,CS,4.0,SysPrm
2022-01-13 22:59:17.852,Battery Status,BATT C,1112.0,SysPrm
2022-01-13 22:59:17.852,Battery Status,VS,167858.0,SysPrm
2022-01-13 22:50:17.853,Battery Status,EC,0.0,SysPrm
2022-01-13 22:50:17.853,Battery Status,CS,4.0,SysPrm
2022-01-13 22:50:17.853,Battery Status,BATT C,1640.0,SysPrm
2022-01-13 22:50:17.853,Battery Status,VS,167708.0,SysPrm
2022-01-13 22:45:17.842,Battery Status,BATT C,2136.0,SysPrm
2022-01-13 22:45:17.842,Battery Status,VS,167708.0,SysPrm
2022-01-13 22:44:17.841,Battery Status,EC,0.0,SysPrm
2022-01-13 22:44:17.841,Battery Status,CS,3.0,SysPrm
2022-01-13 22:44:17.841,Battery Status,BATT C,1936.0,SysPrm
2022-01-13 22:44:17.841,Battery Status,VS,164423.0,SysPrm
2022-01-13 22:43:17.848,Battery Status,EC,0.0,SysPrm
2022-01-13 22:43:17.848,Battery Status,CS,3.0,SysPrm
2022-01-13 22:43:17.848,Battery Status,BATT C,1128.0,SysPrm
2022-01-13 22:43:17.848,Battery Status,VS,159196.0,SysPrm
2022-01-13 22:42:17.839,Battery Status,EC,0.0,SysPrm
2022-01-13 22:42:17.839,Battery Status,CS,3.0,SysPrm
2022-01-13 22:42:17.839,Battery Status,BATT C,4294967300.0,SysPrm
2022-01-13 22:42:17.839,Battery Status,VS,153222.0,SysPrm
2022-01-13 22:55:17.849,Battery Status,EC,0.0,SysPrm
2022-01-13 22:55:17.849,Battery Status,CS,4.0,SysPrm
2022-01-13 22:55:17.849,Battery Status,BATT C,1296.0,SysPrm
2022-01-13 22:55:17.849,Battery Status,VS,167708.0,SysPrm
2022-01-13 22:32:17.832,Battery Status,CS,0.0,SysPrm
2022-01-13 22:32:17.832,Battery Status,BATT C,4294966530.0,SysPrm
2022-01-13 22:32:17.832,Battery Status,VS,149140.0,SysPrm
2022-01-13 22:31:17.832,Battery Status,EC,0.0,SysPrm
2022-01-13 22:31:17.832,Battery Status,CS,0.0,SysPrm
2022-01-13 22:31:17.832,Battery Status,BATT C,4294966530.0,SysPrm
2022-01-13 22:31:17.832,Battery Status,VS,149240.0,SysPrm
2022-01-13 22:30:17.831,Battery Status,EC,0.0,SysPrm
2022-01-13 22:30:17.831,Battery Status,CS,0.0,SysPrm
2022-01-13 22:30:17.831,Battery Status,BATT C,4294966530.0,SysPrm
2022-01-13 22:30:17.831,Battery Status,VS,149190.0,SysPrm
2022-01-13 22:29:17.845,Battery Status,EC,0.0,SysPrm
2022-01-13 22:29:17.845,Battery Status,CS,0.0,SysPrm
2022-01-13 22:29:17.845,Battery Status,BATT C,4294966530.0,SysPrm
2022-01-13 22:29:17.845,Battery Status,VS,149240.0,SysPrm
2022-01-13 22:49:17.845,Battery Status,EC,0.0,SysPrm
2022-01-13 22:49:17.845,Battery Status,CS,4.0,SysPrm
2022-01-13 22:49:17.845,Battery Status,BATT C,1720.0,SysPrm
2022-01-13 22:49:17.845,Battery Status,VS,167659.0,SysPrm
2022-01-13 22:48:17.844,Battery Status,EC,0.0,SysPrm
2022-01-13 22:48:17.844,Battery Status,CS,4.0,SysPrm
2022-01-13 22:48:17.844,Battery Status,BATT C,1800.0,SysPrm
2022-01-13 22:48:17.844,Battery Status,VS,167708.0,SysPrm
2022-01-13 22:47:17.843,Battery Status,EC,0.0,SysPrm
2022-01-13 22:47:17.843,Battery Status,CS,4.0,SysPrm
2022-01-13 22:47:17.843,Battery Status,BATT C,1872.0,SysPrm
2022-01-13 22:47:17.843,Battery Status,VS,167659.0,SysPrm
2022-01-13 22:46:17.842,Battery Status,EC,0.0,SysPrm
