event_datetime_ts,parameter_group,parameter_name,parameter_value,source
2022-01-13 15:57:05.872,Battery Status,BATT C,0.0,SysPrm
2022-01-13 15:57:05.872,Battery Status,VS,160241.0,SysPrm
2022-01-13 15:56:05.872,Battery Status,EC,0.0,SysPrm
2022-01-13 15:56:05.872,Battery Status,CS,0.0,SysPrm
2022-01-13 15:56:05.872,Battery Status,BATT C,8.0,SysPrm
2022-01-13 15:56:05.872,Battery Status,VS,160142.0,SysPrm
2022-01-13 15:55:05.872,Battery Status,EC,0.0,SysPrm
2022-01-13 15:55:05.872,Battery Status,CS,0.0,SysPrm
2022-01-13 15:55:05.872,Battery Status,BATT C,-8.0,SysPrm
2022-01-13 15:55:05.872,Battery Status,VS,160142.0,SysPrm
2022-01-13 15:54:05.873,Battery Status,EC,0.0,SysPrm
2022-01-13 15:54:05.873,Battery Status,CS,0.0,SysPrm
2022-01-13 15:54:05.873,Battery Status,BATT C,-24.0,SysPrm
2022-01-13 15:54:05.873,Battery Status,VS,160042.0,SysPrm
2022-01-13 15:53:05.873,Battery Status,EC,0.0,SysPrm
2022-01-13 15:53:05.873,Battery Status,CS,0.0,SysPrm
2022-01-13 15:53:05.873,Battery Status,BATT C,-8.0,SysPrm
2022-01-13 15:53:05.873,Battery Status,VS,160092.0,SysPrm
2022-01-13 16:00:05.872,Battery Status,EC,0.0,SysPrm
2022-01-13 16:00:05.872,Battery Status,CS,0.0,SysPrm
2022-01-13 16:00:05.872,Battery Status,BATT C,-8.0,SysPrm
2022-01-13 16:00:05.872,Battery Status,VS,160192.0,SysPrm
2022-01-13 15:59:05.872,Battery Status,EC,0.0,SysPrm
2022-01-13 15:59:05.872,Battery Status,CS,0.0,SysPrm
2022-01-13 15:59:05.872,Battery Status,BATT C,8.0,SysPrm
2022-01-13 15:59:05.872,Battery Status,VS,160142.0,SysPrm
2022-01-13 15:58:05.872,Battery Status,EC,0.0,SysPrm
2022-01-13 15:58:05.872,Battery Status,CS,0.0,SysPrm
2022-01-13 15:58:05.872,Battery Status,BATT C,-8.0,SysPrm
2022-01-13 15:58:05.872,Battery Status,VS,160142.0,SysPrm
2022-01-13 15:57:05.872,Battery Status,EC,0.0,SysPrm
2022-01-13 15:57:05.872,Battery Status,CS,0.0,SysPrm
2022-01-13 15:49:05.873,Battery Status,EC,0.0,SysPrm
2022-01-13 15:49:05.873,Battery Status,CS,0.0,SysPrm
2022-01-13 15:49:05.873,Battery Status,BATT C,0.0,SysPrm
2022-01-13 15:49:05.873,Battery Status,VS,160142.0,SysPrm
2022-01-13 15:48:05.873,Battery Status,EC,0.0,SysPrm
2022-01-13 15:48:05.873,Battery Status,CS,0.0,SysPrm
2022-01-13 15:48:05.873,Battery Status,BATT C,-8.0,SysPrm
2022-01-13 15:48:05.873,Battery Status,VS,160092.0,SysPrm
2022-01-13 15:47:05.874,Battery Status,EC,0.0,SysPrm
2022-01-13 15:47:05.874,Battery Status,CS,0.0,SysPrm
2022-01-13 15:47:05.874,Battery Status,BATT C,-8.0,SysPrm
2022-01-13 15:47:05.874,Battery Status,VS,160192.0,SysPrm
